,ROC,ROC5,Momemtum2,BBmavg,BBup,BBpctB,DIp,DIn,DI,ADX,ema20,sma20,ema60,sma60,MACDoscil,MACDsignal,rsi,SfastK,SfastD,SslowD,SMI,SMIsignal,Yc
1923,0.002983031,0.059043771,-0.108132,70.41004137,73.10054601,0.899855964,36.69154296,18.25426586,33.55538392,28.85953966,70.00378231,70.45961765,67.63825919,65.58762088,2.041280857,1.950345058,64.56393692,0.866670079,0.860318073,0.751322337,30.31489036,30.63373476,1
1924,0.006679045,0.065722816,0.703094,70.60924903,73.44696001,0.923424641,38.78542469,17.65051754,37.44937413,29.47309926,70.30061533,70.69758495,67.81800574,65.73905432,2.14377201,1.989030448,66.02277345,0.952384301,0.882542287,0.851852664,33.87641207,31.28227022,1
1925,1.259936606,1.277847832,185.130562,80.07900266,162.1881451,1.589093472,94.51624784,1.558505802,96.75563924,34.27899497,88.15430368,80.10554695,74.0457545,68.99312345,19.45169938,5.481564235,98.09310403,0.981961842,0.933672074,0.892177478,72.89283361,39.6043829,0
1926,-0.001505911,1.263622119,184.255936,89.45690932,201.9986935,1.246606513,93.19559292,2.335158763,95.11118939,38.62415172,104.2707,89.47248155,80.05659747,72.25424857,28.62736342,10.11072407,97.88409132,0.979957753,0.971434632,0.929216331,83.82379782,48.44826589,0
1927,0.002258137,1.270350909,0.19397,98.90170446,232.8359742,1.095475554,92.44133783,2.302979731,95.13853751,42.66089356,118.9076155,98.86850855,85.8894406,75.51605735,33.42766868,14.77411299,97.89134967,0.982964046,0.98162788,0.962244862,88.3089117,56.42039505,0
1928,0.002253049,1.269620927,1.163696,108.2637584,258.0969535,0.997811356,90.07630981,3.801360193,91.90146029,46.1780769,132.2059532,108.285516,91.55011996,78.77764837,35.66771345,18.95283308,97.89911086,0.98597034,0.982964046,0.97867552,90.7547714,63.28727032,0
1929,-0.028921294,1.234020588,-6.788376,117.3544332,278.5115955,0.918179589,85.46900014,6.448530114,85.96887863,49.02027702,143.5358564,117.3286038,96.78355658,81.9452467,36.02291028,22.36684852,93.21870941,0.947889851,0.972274746,0.978955557,91.05215595,68.84024745,1
1930,0.00922384,-0.016692178,-5.042755,126.4315879,296.2497524,0.870125725,82.5390048,6.936720188,84.49474382,51.55416751,154.0083849,126.4826561,101.9217156,85.17417075,35.60797337,25.01507349,93.32720204,0.959915423,0.964591871,0.973276888,91.24433665,73.32106529,1
1931,0.005341507,-0.00984476,3.68515,135.6889587,312.4683688,0.840887561,82.73319348,6.665196141,85.08877807,53.94949683,163.6128328,135.6586224,106.9359245,88.42301897,34.67239686,26.94653817,93.39359947,0.966930292,0.958245188,0.965037268,91.54851748,76.96655572,1
1932,0,-0.012102897,1.357681,144.829491,326.4460414,0.80433021,81.87040298,6.595687547,85.08877807,56.17373121,172.3025713,144.7534637,111.7857331,91.65474058,33.36863297,28.23095713,93.39359947,0.966930292,0.964592002,0.962476354,91.81609649,79.93646388,1
1933,0.00152092,-0.012835027,0.387909,153.9653299,338.320127,0.772577262,79.85258606,8.213149148,81.34768505,57.97187077,180.2016593,153.9542335,116.4892499,94.89473005,31.86079473,28.95692465,93.41531049,0.968627712,0.967496098,0.96344443,92.06868959,82.36290902,1
1934,0.017326073,0.03341234,4.848801,163.2960525,348.7225944,0.75333776,78.32907798,7.755694918,81.98126182,59.68682727,187.7733002,163.4104976,121.1848118,98.21808172,30.38277904,29.24209553,93.67282493,0.991832455,0.975796819,0.969294973,92.71431207,84.43318963,1
1935,0.004470848,0.028659347,5.624588,172.8564729,357.701986,0.738066669,78.23212322,7.52986586,82.44008578,61.31206002,194.7346605,172.9763263,125.7645748,101.5842645,28.84455816,29.16258805,93.74158451,0.989818594,0.983426254,0.975573057,93.34718691,86.21598909,1
1936,-0.008212044,0.015105796,-0.969788,182.3885149,364.4150302,0.711485939,75.85353309,8.21304941,80.46060833,62.67981347,200.8298452,182.4706344,130.1242314,104.8995656,27.18625528,28.7673215,91.77247297,0.978606928,0.986752659,0.981991911,93.71726838,87.71624494,1
1937,-0.013584877,0.00152092,-5.624588,191.7414329,368.6859304,0.682179532,73.33235113,10.47239919,75.00762391,63.56037136,206.0120501,191.7741626,134.226486,108.1774134,25.4290982,28.09967684,88.49663172,0.960225109,0.976216877,0.98213193,93.19016665,88.81102929,1
1938,0.020308937,0.020308937,1.745606,201.2833911,371.0612623,0.671097811,71.8477732,9.91471866,75.74751348,64.43088151,211.1994459,201.3746799,138.3659358,111.5236107,23.91145399,27.26203227,89.12377807,0.835617833,0.924816623,0.962595386,92.83851694,89.61652682,1
